2026-04-30T14:24:25: PM2 log: ===============================================================================
2026-04-30T14:24:25: PM2 log: --- New PM2 Daemon started ----------------------------------------------------
2026-04-30T14:24:25: PM2 log: Time                 : Thu Apr 30 2026 14:24:25 GMT+0530 (India Standard Time)
2026-04-30T14:24:25: PM2 log: PM2 version          : 6.0.14
2026-04-30T14:24:25: PM2 log: Node.js version      : 20.19.5
2026-04-30T14:24:25: PM2 log: Current arch         : x64
2026-04-30T14:24:25: PM2 log: PM2 home             : C:\Users\Sri Gautam Ji\Downloads\fs\FileServer (3)\FileServer (1)/pm2
2026-04-30T14:24:25: PM2 log: PM2 PID file         : C:\Users\Sri Gautam Ji\Downloads\fs\FileServer (3)\FileServer (1)\pm2\pm2.pid
2026-04-30T14:24:25: PM2 log: RPC socket file      : \\.\pipe\rpc.sock
2026-04-30T14:24:25: PM2 log: BUS socket file      : \\.\pipe\pub.sock
2026-04-30T14:24:25: PM2 log: Application log path : C:\Users\Sri Gautam Ji\Downloads\fs\FileServer (3)\FileServer (1)\pm2\logs
2026-04-30T14:24:25: PM2 log: Worker Interval      : 30000
2026-04-30T14:24:25: PM2 log: Process dump file    : C:\Users\Sri Gautam Ji\Downloads\fs\FileServer (3)\FileServer (1)\pm2\dump.pm2
2026-04-30T14:24:25: PM2 log: Concurrent actions   : 2
2026-04-30T14:24:25: PM2 log: SIGTERM timeout      : 1600
2026-04-30T14:24:25: PM2 log: Runtime Binary       : C:\Program Files\nodejs\node.exe
2026-04-30T14:24:25: PM2 log: ===============================================================================
2026-04-30T14:24:39: PM2 log: App [FileServer:0] starting in -fork mode-
2026-04-30T14:24:39: PM2 log: App [FileServer:0] online
2026-04-30T14:24:39: PM2 error: Error caught while calling pidusage
2026-04-30T14:24:39: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:24:43: PM2 error: Error caught while calling pidusage
2026-04-30T14:24:43: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:24:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:24:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:25:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:25:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:25:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:25:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:26:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:26:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:26:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:26:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:27:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:27:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:27:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:27:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:28:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:28:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:28:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:28:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:29:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:29:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:29:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:29:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:30:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:30:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:30:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:30:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:31:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:31:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:31:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:31:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:32:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:32:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:32:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:32:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:33:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:33:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:33:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:33:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:34:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:34:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:34:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:34:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:35:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:35:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:35:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:35:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:36:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:36:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:36:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:36:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:37:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:37:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:37:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:37:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:38:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:38:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:38:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:38:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:39:25: PM2 error: Error caught while calling pidusage
2026-04-30T14:39:25: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:39:55: PM2 error: Error caught while calling pidusage
2026-04-30T14:39:55: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T14:40:25: PM2 error: Error caught while calling pidusage
